
Mean Weight in Catch (kilograms)
   1       3
  1995    2024
   5       21
   1
   0.225    0.268   0.312   0.358   0.392   0.435   0.503   0.553   0.638   0.681   0.751   0.830   0.906   0.968   1.013   1.060   0.982  #1995
   0.194    0.249   0.289   0.334   0.359   0.409   0.470   0.512   0.608   0.643   0.711   0.764   0.860   0.891   0.946   0.994   1.015  #1996
   0.198    0.256   0.309   0.355   0.383   0.438   0.489   0.538   0.614   0.656   0.715   0.739   0.848   0.875   0.952   0.969   1.003  #1997
   0.189    0.245   0.295   0.354   0.373   0.428   0.477   0.517   0.588   0.634   0.674   0.687   0.818   0.824   0.923   0.932   0.968  #1998
   0.192    0.244   0.301   0.350   0.382   0.431   0.488   0.533   0.601   0.652   0.712   0.730   0.829   0.830   0.917   0.917   0.912  #1999
   0.243    0.262   0.313   0.353   0.395   0.448   0.501   0.546   0.592   0.655   0.724   0.736   0.839   0.767   0.915   0.843   0.918  #2000
   0.214    0.250   0.298   0.345   0.383   0.429   0.492   0.535   0.602   0.653   0.709   0.746   0.858   0.867   0.948   0.943   0.966  #2001
   0.215    0.254   0.303   0.344   0.378   0.431   0.490   0.545   0.610   0.672   0.717   0.744   0.847   0.863   0.957   0.962   1.007  #2002
   0.239    0.273   0.318   0.353   0.384   0.432   0.490   0.533   0.592   0.649   0.700   0.713   0.823   0.812   0.900   0.866   0.963  #2003
   0.212    0.255   0.294   0.339   0.378   0.423   0.496   0.550   0.579   0.694   0.687   0.736   0.757   0.728   0.793   0.807   0.802  #2004
   0.221    0.273   0.309   0.316   0.376   0.394   0.440   0.484   0.542   0.509   0.647   0.780   0.595   0.923   0.926   0.929   0.808  #2005
   0.244    0.293   0.321   0.346   0.364   0.412   0.469   0.500   0.577   0.609   0.604   0.768   0.762   0.784   1.046   0.916   0.940  #2006
   0.279    0.317   0.351   0.367   0.400   0.457   0.473   0.489   0.581   0.637   0.648   0.741   0.698   0.636   0.928   0.910   0.937  #2007
   0.259    0.303   0.353   0.365   0.370   0.418   0.449   0.500   0.533   0.611   0.584   0.683   0.642   0.617   0.646   0.655   0.738  #2008
   0.251    0.314   0.339   0.379   0.378   0.423   0.423   0.464   0.524   0.555   0.589   0.656   0.656   0.584   0.654   0.622   0.674  #2009
   0.203    0.309   0.377   0.368   0.401   0.430   0.499   0.473   0.495   0.516   0.558   0.624   0.592   0.582   0.613   0.586   0.724  #2010
   0.220    0.272   0.348   0.375   0.410   0.439   0.452   0.503   0.486   0.546   0.568   0.569   0.667   0.610   0.670   0.634   0.730  #2011
   0.252    0.301   0.339   0.371   0.402   0.428   0.480   0.524   0.542   0.574   0.640   0.710   0.731   0.859   0.697   0.781   0.771  #2012
   0.221    0.296   0.342   0.354   0.380   0.420   0.432   0.493   0.500   0.541   0.595   0.567   0.620   0.668   0.706   0.731   0.693  #2013
   0.231    0.289   0.330   0.350   0.383   0.400   0.434   0.493   0.528   0.562   0.588   0.673   0.694   0.761   0.571   0.639   0.682  #2014
   0.235    0.271   0.293   0.335   0.373   0.413   0.439   0.515   0.565   0.647   0.636   0.729   0.700   0.788   0.861   0.779   0.845  #2015
   0.236    0.293   0.329   0.338   0.371   0.411   0.445   0.461   0.605   0.622   0.711   0.719   0.811   0.642   0.905   0.652   0.736  #2016
   0.239    0.256   0.298   0.333   0.361   0.385   0.396   0.415   0.507   0.479   0.657   0.697   0.632   0.641   0.787   0.773   0.802  #2017
   0.226    0.250   0.267   0.292   0.352   0.363   0.420   0.503   0.492   0.566   0.424   0.675   0.781   0.666   0.804   0.706   0.757  #2018
   0.222    0.252   0.297   0.301   0.326   0.335   0.355   0.407   0.427   0.464   0.495   0.534   0.512   0.438   0.589   0.576   0.808  #2019
   0.237    0.270   0.287   0.318   0.317   0.366   0.406   0.430   0.463   0.488   0.530   0.715   0.677   0.771   0.877   0.859   0.919  #2020
   0.246    0.303   0.328   0.332   0.356   0.360   0.393   0.422   0.459   0.501   0.517   0.597   0.653   0.587   0.763   0.727   0.757  #2021
   0.244    0.333   0.330   0.327   0.364   0.384   0.415   0.410   0.438   0.503   0.518   0.516   0.556   0.487   0.703   0.545   0.713  #2022
   0.211    0.257   0.314   0.318   0.341   0.369   0.394   0.409   0.397   0.421   0.424   0.434   0.489   0.504   0.509   0.580   0.717  #2023
   0.296    0.284   0.319   0.331   0.355   0.402   0.412   0.425   0.464   0.502   0.496   0.560   0.711   0.604   0.626   0.811   0.744  #2024
