Natural Mortality                4/12/2021   17:22
       1       5
  1995    2024
       5   21
       1
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #1995
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #1996
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #1997
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #1998
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #1999
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2000
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2001
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2002
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2003
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2004
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2005
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2006
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2007
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2008
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2009
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2010
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2011
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2012
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2013
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2014
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2015
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2016
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2017
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2018
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2019
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2020
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2021
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2022
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2023
    0.15    0.15    0.15    0.15      0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15    0.15  #2024
